CoatCheck,Attire,ReviewCount,TakeAway,State,CreditCards,City,Open,Smoking,Caters,TransitNearby,IsCasual,IsUpscale,BestNIghtMonThur,BestNightFriSat,School,GoodForLunch,GoodForDinner,HasMusic,Longitude,OutdoorSeating,GoodForGroups,WiFi,Alcohol,WaiterService,Delivery,HappyHour,GoodForKids,TakeOut,AvgPrice,NoiseLevel,HasTV,Latitude,GoodForDancing,NominalStars
?,?,2,?,MA,?,Cambridge,TRUE,?,?,Y,N,N,N,N,"Massachusetts Institute of Technology, Harvard University",N,N,N,-71.100258,?,?,?,?,?,?,?,?,?,?,?,?,42.354879,?,high
?,Casual,20,?,IL,Yes,Champaign,TRUE,?,No,N,N,N,N,N,University of Illinois - Urbana-Champaign,N,N,N,-88.231659,No,No,?,No,No,Yes,?,No,Yes,20,Quiet,No,40.116264,?,high
?,Casual,71,?,CA,Yes,La Jolla,TRUE,?,Yes,N,Y,N,N,N,University of California - San Diego,Y,N,N,-117.232662,Yes,Yes,No,Full Bar,No,No,?,Yes,Yes,7,Average,No,32.870325,?,high
?,?,7,?,NY,?,New York,TRUE,?,?,Y,N,N,N,N,Columbia University,N,N,N,-73.953743,?,?,?,?,?,?,?,?,?,?,?,?,40.806678,?,low
?,Casual,19,?,CA,Yes,San Luis Obispo,TRUE,?,No,N,N,N,N,N,California Polytechnic State University,Y,N,N,-120.668619,Yes,Yes,Free,Beer & Wine Only,No,No,?,Yes,Yes,7,Quiet,Yes,35.294047,?,high
?,Casual,74,?,PA,Yes,Philadelphia,TRUE,?,Yes,N,Y,N,N,N,University of Pennsylvania,N,Y,N,-75.196958,Yes,Yes,Free,Full Bar,Yes,Yes,?,No,Yes,20,Quiet,Yes,39.956641,?,low
?,Casual,21,?,CA,?,Berkeley,FALSE,?,?,N,N,N,N,N,University of California at Berkeley,N,N,N,-122.258609,No,No,?,?,No,?,?,?,Yes,7,?,?,37.867918,?,low
?,Casual,112,?,CA,Yes,San Luis Obispo,TRUE,?,No,N,Y,N,N,N,California Polytechnic State University,N,N,N,-120.661448,Yes,No,No,No,Yes,No,?,Yes,Yes,20,Average,No,35.28084,?,high
?,Dressy,60,?,NJ,Yes,Princeton,TRUE,?,No,N,N,Y,N,N,Princeton University,N,Y,N,-74.668978,No,Yes,No,Full Bar,Yes,No,?,No,No,80,Average,No,40.355102,?,high
?,Casual,7,Yes,ON,Yes,Waterloo,TRUE,?,?,N,N,Y,N,N,University of Waterloo,Y,Y,N,-80.529575,No,Yes,No,Full Bar,Yes,Yes,?,Yes,?,20,Average,Yes,43.497868,?,low
